,Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
474223,634425,1988,28700815,Michael Jordan,CHI,"APR 03, 1988",CHI @ DET,W,42,21,27.0,0.778,0.0,1.0,0.0,17,19.0,0.895,2.0,2.0,4.0,6.0,2.0,2.0,1.0,4.0,59,,0
474224,634418,1988,28700910,Michael Jordan,CHI,"APR 19, 1988",CHI @ NYK,W,40,18,27.0,0.667,0.0,2.0,0.0,11,13.0,0.846,3.0,2.0,5.0,2.0,2.0,1.0,6.0,4.0,47,,0
474225,634417,1988,28700919,Michael Jordan,CHI,"APR 21, 1988",CHI @ BOS,L,41,17,33.0,0.515,0.0,2.0,0.0,5,6.0,0.833,3.0,0.0,3.0,8.0,2.0,1.0,4.0,5.0,39,,0
474226,634416,1988,28700928,Michael Jordan,CHI,"APR 22, 1988",CHI vs. CLE,L,42,12,26.0,0.462,0.0,0.0,0.0,2,2.0,1.0,1.0,0.0,1.0,7.0,4.0,1.0,2.0,5.0,26,,0
474227,634415,1988,28700940,Michael Jordan,CHI,"APR 24, 1988",CHI vs. BOS,W,44,16,25.0,0.64,0.0,1.0,0.0,14,15.0,0.933,0.0,6.0,6.0,6.0,1.0,1.0,3.0,3.0,46,,0
474228,634414,1988,28800009,Michael Jordan,CHI,"NOV 04, 1988",CHI vs. DET,L,43,10,19.0,0.526,0.0,2.0,0.0,8,12.0,0.667,1.0,4.0,5.0,7.0,5.0,2.0,2.0,5.0,28,,0
474229,634413,1988,28800022,Michael Jordan,CHI,"NOV 05, 1988",CHI @ WAS,W,39,9,21.0,0.429,0.0,0.0,0.0,11,12.0,0.917,0.0,2.0,2.0,7.0,3.0,0.0,5.0,4.0,29,,0
474230,634412,1988,28800030,Michael Jordan,CHI,"NOV 08, 1988",CHI @ NYK,L,39,13,21.0,0.619,2.0,3.0,0.667,3,3.0,1.0,2.0,1.0,3.0,9.0,2.0,0.0,4.0,5.0,31,,0
474231,634419,1988,28700900,Michael Jordan,CHI,"APR 17, 1988",CHI vs. MIL,W,38,17,29.0,0.586,0.0,1.0,0.0,10,14.0,0.714,1.0,2.0,3.0,6.0,4.0,3.0,2.0,4.0,44,,0
474232,634420,1988,28700882,Michael Jordan,CHI,"APR 15, 1988",CHI @ NJN,W,39,11,20.0,0.55,0.0,0.0,0.0,6,8.0,0.75,0.0,0.0,0.0,4.0,2.0,0.0,3.0,5.0,28,,0
